ISIN,kiid_url,n_pages,strategy,fallback,rows_extracted,cat1,cat2a,cat2b,has_entry,has_exit,has_oc,has_perf,value_format,verdict,failure_reason,duration_ms
DE0005152441,muestra_pdfs/DE0005152441.pdf,3,pdfplumber,0,22,0,2,0,1,1,0,0,EUR,WARN_EUR_ONLY,valores_solo_EUR,1117
DE0005152482,muestra_pdfs/DE0005152482.pdf,3,pdfplumber,0,23,0,1,0,1,1,0,0,EUR,WARN_EUR_ONLY,valores_solo_EUR,946
DE0005318406,muestra_pdfs/DE0005318406.pdf,3,pdfplumber,0,23,0,1,0,1,1,0,0,EUR,WARN_EUR_ONLY,valores_solo_EUR,854
FR0000989626,muestra_pdfs/FR0000989626.pdf,3,heuristic_lines,1,27,0,1,0,0,0,1,1,PCT,OK_HEURISTIC,,1202
IE0032875985,muestra_pdfs/IE0032875985.pdf,3,heuristic_lines,1,39,0,1,0,0,0,1,0,PCT,OK_HEURISTIC,,1095
IE00B45H7020,muestra_pdfs/IE00B45H7020.pdf,3,pdfplumber,0,10,0,2,0,0,0,0,0,NONE,FAIL_NONE,cat2a_sin_valor,876
IE00BZ4D7085,muestra_pdfs/IE00BZ4D7085.pdf,3,heuristic_lines,1,89,1,1,0,0,1,1,1,PCT,OK_HEURISTIC,,1263
LU0006277684,muestra_pdfs/LU0006277684.pdf,3,heuristic_lines,1,5,0,1,0,0,0,1,1,PCT,OK_HEURISTIC,,753
LU0070177588,muestra_pdfs/LU0070177588.pdf,3,none,0,15,0,0,0,0,0,0,0,NONE,FAIL_NONE,serializer_no_cat2a,1309
LU0073230426,muestra_pdfs/LU0073230426.pdf,3,pdfplumber,0,25,0,1,0,1,1,0,0,EUR,WARN_EUR_ONLY,valores_solo_EUR,1043
LU0128640439,muestra_pdfs/LU0128640439.pdf,3,none,0,23,0,1,0,0,0,0,0,NONE,FAIL_NONE,serializer_no_cat2a,1065
LU0135992385,muestra_pdfs/LU0135992385.pdf,3,heuristic_lines,1,35,0,1,1,0,0,0,1,PCT,WARN_NO_OC,sin_costes_corrientes,1113
LU0210536867,muestra_pdfs/LU0210536867.pdf,3,none,0,18,0,0,0,0,0,0,0,NONE,FAIL_NONE,serializer_no_cat2a,1228
LU0213962813,muestra_pdfs/LU0213962813.pdf,3,none,0,3,0,0,0,0,0,0,0,NONE,FAIL_NONE,serializer_no_cat2a,871
LU0232465467,muestra_pdfs/LU0232465467.pdf,3,heuristic_lines,1,11,0,1,0,0,0,1,0,PCT,OK_HEURISTIC,,1242
LU0236146428,muestra_pdfs/LU0236146428.pdf,3,pdfplumber,0,22,0,1,0,1,1,0,0,EUR,WARN_EUR_ONLY,valores_solo_EUR,799
LU0256839274,muestra_pdfs/LU0256839274.pdf,3,none,0,22,0,0,0,0,0,0,0,NONE,FAIL_NONE,serializer_no_cat2a,181
LU0607519195,muestra_pdfs/LU0607519195.pdf,3,heuristic_lines,1,13,0,1,0,1,0,1,0,PCT,OK_HEURISTIC,,763
LU0726357873,muestra_pdfs/LU0726357873.pdf,3,heuristic_lines,1,4,0,1,0,1,1,1,0,PCT,OK_HEURISTIC,,1006
LU1133289592,muestra_pdfs/LU1133289592.pdf,3,heuristic_lines,1,34,0,1,0,0,0,0,1,PCT,WARN_NO_OC,sin_costes_corrientes,1135
LU1502282632,muestra_pdfs/LU1502282632.pdf,3,pdfplumber,0,36,0,1,0,0,0,0,0,NONE,FAIL_NONE,cat2a_sin_valor,1384
LU1873127366,muestra_pdfs/LU1873127366.pdf,3,none,0,15,0,0,0,0,0,0,0,NONE,FAIL_NONE,serializer_no_cat2a,1339
LU1959429272,muestra_pdfs/LU1959429272.pdf,3,pdfplumber,1,26,0,1,1,1,1,0,0,EUR,WARN_EUR_ONLY,valores_solo_EUR,980
